Other,Rand,SAT_TTB,TTB,TTB_SAT,WADD,alpha,click_var_gamble,click_var_outcome,cost,nr_clicks,payoff_gross,payoff_gross_by_strategy,payoff_gross_relative,payoff_gross_relative_by_strategy,payoff_net,payoff_net_by_strategy,payoff_net_relative,payoff_net_relative_by_strategy,payoff_perfect,problem_id,processing_pattern,sigma,strategy
0.001,0.0,0.0,0.0,0.9990000000000001,0.0,0.3,0.0030786501637692122,0.10452460939468378,1.0,7.787999999999999,54.01,"[54.01000000000037, 0.0, 0.0, 0.0, 0.0, 54.01]",0.7550280844262132,"[0.7550280844261964, 0.0, 0.0, 0.0, 0.0, 0.7550280844262133]",46.222,"[46.22421421421431, 0.0, 0.0, 0.0, 0.0, 44.01]",0.6461564176698469,"[0.6461873710843294, 0.0, 0.0, 0.0, 0.0, 0.6152339565931799]",71.53376293418955,mlhb2P64mtEuQDH,-0.9557738095238096,75.0,"['TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT']"
0.012,0.0,0.0,0.0,0.988,0.0,0.3,0.002279638939904092,0.06691076270916232,1.0,9.947000000000001,49.48000000000001,"[49.4800000000008, 0.0, 0.0, 0.0, 0.0, 49.48000000000001]",0.6917013445178491,"[0.6917013445178444, 0.0, 0.0, 0.0, 0.0, 0.6917013445178491]",39.533,"[39.532631578947566, 0.0, 0.0, 0.0, 0.0, 39.56333333333334]",0.5526481255623311,"[0.5526429752523576, 0.0, 0.0, 0.0, 0.0, 0.553072167750091]",71.53376293418955,Q8ZMcp5SHNKniCj,-0.8542857142857142,75.0,"['TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT']"
0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.005017928004535147,0.10798022959183673,1.0,7.181,77.4,"[77.39999999999998, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0820065494276785,"[1.082006549427666, 0.0, 0.0, 0.0, 0.0, 0.0]",70.21899999999998,"[70.21900000000056, 0.0, 0.0, 0.0, 0.0, 0.0]",0.9816203862307776,"[0.9816203862307875, 0.0, 0.0, 0.0, 0.0, 0.0]",71.53376293418955,55wGWrG0AsulSFG,-0.8267809523809524,75.0,"['TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT']"
0.0,0.0,0.353,0.15,0.49700000000000005,0.0,0.3,0.04198333333333335,0.1875,1.0,3.4019999999999997,106.75,"[106.75, 106.75, 106.75, 0.0, 0.0, 0.0]",1.4923023146176315,"[1.4923023146176317, 1.4923023146176317, 1.4923023146176317, 0.0, 0.0, 0.0]",103.348,"[102.95321931589537, 105.00779036827196, 100.75, 0.0, 0.0, 0.0]",1.4447443523288337,"[1.4392255501868607, 1.4679472470206538, 1.4084258379178103, 0.0, 0.0, 0.0]",71.53376293418955,Gq2ftjqDBmr2chN,-1.0,75.0,"['TTB', 'TTB_SAT', 'TTB_SAT', 'SAT_TTB', 'SAT_TTB', 'TTB', 'TTB_SAT', 'SAT_TTB', 'SAT_TTB', 'TTB_SAT']"
0.0,0.0,0.0,1.0,0.0,0.0,0.3,0.0,0.1875,1.0,6.0,72.14,"[0.0, 0.0, 72.1399999999995, 0.0, 0.0, 0.0]",1.0084748381875028,"[0.0, 0.0, 1.0084748381874808, 0.0, 0.0, 0.0]",66.14,"[0.0, 0.0, 66.13999999999952, 0.0, 0.0, 0.0]",0.9245983614876824,"[0.0, 0.0, 0.9245983614877026, 0.0, 0.0, 0.0]",71.53376293418955,PCWdMJAPeV3vIAW,-1.0,75.0,"['TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB']"
0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.0034722222222222233,0.09375,1.0,8.0,40.13999999999999,"[40.139999999999574, 0.0, 0.0, 0.0, 0.0, 0.0]",0.5611336291217961,"[0.561133629121793, 0.0, 0.0, 0.0, 0.0, 0.0]",32.13999999999999,"[32.1399999999996, 0.0, 0.0, 0.0, 0.0, 0.0]",0.4492983268553693,"[0.4492983268553578, 0.0, 0.0, 0.0, 0.0, 0.0]",71.53376293418955,q8OiXnEuGsljtb2,-0.9542857142857142,75.0,"['TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT']"
0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.003131660997732428,0.11111862244897956,1.0,7.466,27.779999999999994,"[27.779999999999692, 0.0, 0.0, 0.0, 0.0, 0.0]",0.3883480871201667,"[0.3883480871201644, 0.0, 0.0, 0.0, 0.0, 0.0]",20.313999999999997,"[20.314000000000004, 0.0, 0.0, 0.0, 0.0, 0.0]",0.283977791280024,"[0.28397779128002254, 0.0, 0.0, 0.0, 0.0, 0.0]",71.53376293418955,nQ4KJRm5qzDmfGs,-0.9444285714285712,75.0,"['TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT']"
0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.006345756172839506,0.04041027777777778,1.0,11.145999999999999,47.92453,"[47.92452999999996, 0.0, 0.0, 0.0, 0.0, 0.0]",0.6699567873158042,"[0.6699567873158085, 0.0, 0.0, 0.0, 0.0, 0.0]",36.77853,"[36.77852999999996, 0.0, 0.0, 0.0, 0.0, 0.0]",0.5141422524331054,"[0.5141422524331114, 0.0, 0.0, 0.0, 0.0, 0.0]",71.53376293418955,02RpShoPR0hc5AX,-0.8532108946608946,75.0,"['TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT']"
0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.0034722222222222233,0.09375,1.0,8.0,45.88999999999999,"[45.889999999999546, 0.0, 0.0, 0.0, 0.0, 0.0]",0.6415152526257902,"[0.641515252625788, 0.0, 0.0, 0.0, 0.0, 0.0]",37.88999999999999,"[37.88999999999958, 0.0, 0.0, 0.0, 0.0, 0.0]",0.5296799503593635,"[0.5296799503593641, 0.0, 0.0, 0.0, 0.0, 0.0]",71.53376293418955,lIbaNiqegro6KIA,-0.8401904761904759,75.0,"['TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT']"
0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.0030868055555555553,0.07640624999999998,1.0,8.999,35.75,"[35.75, 0.0, 0.0, 0.0, 0.0, 0.0]",0.4997640070030942,"[0.4997640070030907, 0.0, 0.0, 0.0, 0.0, 0.0]",26.750999999999998,"[26.751, 0.0, 0.0, 0.0, 0.0, 0.0]",0.3739632713661477,"[0.3739632713661399, 0.0, 0.0, 0.0, 0.0, 0.0]",71.53376293418955,IBOZgXFSkyvyiUf,-0.96075,75.0,"['TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT']"
0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.022027268833459308,0.09179155612244898,1.0,5.651,95.44000000000004,"[95.44000000000132, 0.0, 0.0, 0.0, 0.0, 0.0]",1.3341951560384713,"[1.3341951560384875, 0.0, 0.0, 0.0, 0.0, 0.0]",89.78900000000004,"[89.78900000000127, 0.0, 0.0, 0.0, 0.0, 0.0]",1.2551974944000237,"[1.2551974944000281, 0.0, 0.0, 0.0, 0.0, 0.0]",71.53376293418955,VHZfp8VcgwqWdru,-0.7648333333333333,75.0,"['TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT']"
0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.0031450538548752844,0.11043558673469386,1.0,7.487,37.939999999999976,"[37.93999999999983, 0.0, 0.0, 0.0, 0.0, 0.0]",0.5303789209985286,"[0.5303789209985316, 0.0, 0.0, 0.0, 0.0, 0.0]",30.453,"[30.452999999999484, 0.0, 0.0, 0.0, 0.0, 0.0]",0.4257150574899364,"[0.4257150574899389, 0.0, 0.0, 0.0, 0.0, 0.0]",71.53376293418955,12Smwv1zSNyuuxE,-0.8206952380952379,75.0,"['TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT']"
0.0,0.0,0.16899999999999998,0.16,0.6709999999999999,0.0,0.3,0.004666666666666668,0.1875,1.0,5.16,79.61999999999998,"[79.62000000000081, 79.62000000000026, 79.62000000000023, 0.0, 0.0, 0.0]",1.1130408458066117,"[1.1130408458066088, 1.1130408458066092, 1.1130408458066092, 0.0, 0.0, 0.0]",74.46,"[74.62000000000069, 74.62000000000022, 73.62000000000018, 0.0, 0.0, 0.0]",1.0409070758447665,"[1.0431437818900882, 1.0431437818900986, 1.0291643691067907, 0.0, 0.0, 0.0]",71.53376293418955,rVjVpCboG0KJwv1,-1.0,75.0,"['TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB', 'TTB_SAT', 'TTB_SAT']"
0.06,0.0,0.0,0.0,0.94,0.0,0.3,0.02487082414756026,0.0716125813334593,1.0,5.888,83.21723999999998,"[83.47574468085226, 0.0, 0.0, 0.0, 0.0, 79.16733333333335]",1.163328148647222,"[1.1669418922872512, 0.0, 0.0, 0.0, 0.0, 1.1067128316200363]",77.32923999999998,"[77.68212765957566, 0.0, 0.0, 0.0, 0.0, 71.8006666666667]",1.0810173661791318,"[1.0859505284384572, 0.0, 0.0, 0.0, 0.0, 1.0037311574497019]",71.53376293418955,YwmSZ9XOPRdJfbN,-0.5295238095238095,75.0,"['TTB_SAT', 'Other', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT']"
0.0,0.0,0.375,0.0,0.625,0.0,0.3,0.0496738888888889,0.1787766666666667,1.0,2.8289999999999997,96.94496,"[101.5657920000012, 89.2435733333335, 0.0, 0.0, 0.0, 0.0]",1.355233613100831,"[1.4198301310311294, 1.2475727498836684, 0.0, 0.0, 0.0, 0.0]",94.11596,"[98.46179200000115, 86.87290666666676, 0.0, 0.0, 0.0, 0.0]",1.315685854336866,"[1.3764380337517526, 1.2144322219787202, 0.0, 0.0, 0.0, 0.0]",71.53376293418955,WdVOkNPSiCkiKDf,-0.9442409442409442,75.0,"['TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'SAT_TTB', 'TTB_SAT', 'SAT_TTB', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT']"
0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.0030614764424288232,0.10532766439909297,1.0,7.7620000000000005,23.27,"[23.270000000000355, 0.0, 0.0, 0.0, 0.0, 0.0]",0.3253009354674687,"[0.32530093546747, 0.0, 0.0, 0.0, 0.0, 0.0]",15.508000000000004,"[15.508000000000317, 0.0, 0.0, 0.0, 0.0, 0.0]",0.21679273344346814,"[0.2167927334434689, 0.0, 0.0, 0.0, 0.0, 0.0]",71.53376293418955,EDYV3TvmyqJrQOZ,-0.94825,75.0,"['TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT']"
0.001,0.0,0.18899999999999997,0.163,0.647,0.0,0.3,0.0068133333333333344,0.18742,1.0,4.905,91.59999999999998,"[91.59999999999901, 91.60000000000016, 91.60000000000024, 0.0, 0.0, 91.6]",1.2805142109505856,"[1.2805142109505994, 1.280514210950592, 1.280514210950591, 0.0, 0.0, 1.2805142109505858]",86.69499999999998,"[86.90602782071002, 86.91746031746058, 85.60000000000024, 0.0, 0.0, 86.6]",1.2119451912484829,"[1.21489523626297, 1.2150550558541662, 1.196637734250769, 0.0, 0.0, 1.210617147034069]",71.53376293418955,Z6igLUgOZ1o22OJ,-0.9993333333333334,75.0,"['TTB_SAT', 'TTB', 'TTB_SAT', 'SAT_TTB', 'TTB_SAT', 'TTB_SAT', 'TTB', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT']"
0.001,0.0,0.0,0.0,0.9990000000000001,0.0,0.3,0.012638274649365918,0.06826866197404886,1.0,7.626,62.91999999999999,"[62.91999999999873, 0.0, 0.0, 0.0, 0.0, 62.92]",0.8795846523254465,"[0.879584652325436, 0.0, 0.0, 0.0, 0.0, 0.8795846523254461]",55.29399999999998,"[55.29337337337217, 0.0, 0.0, 0.0, 0.0, 55.92]",0.7729776504399747,"[0.772968890567703, 0.0, 0.0, 0.0, 0.0, 0.7817287628423227]",71.53376293418955,3uXiz4V3sUrSmY9,-0.38883333333333336,75.0,"['TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT']"
0.0,0.0,0.0,1.0,0.0,0.0,0.3,0.0,0.1875,1.0,6.0,68.86,"[0.0, 0.0, 68.8600000000005, 0.0, 0.0, 0.0]",0.9626223642582676,"[0.0, 0.0, 0.9626223642582926, 0.0, 0.0, 0.0]",62.86000000000002,"[0.0, 0.0, 62.86000000000049, 0.0, 0.0, 0.0]",0.8787458875584483,"[0.0, 0.0, 0.8787458875584596, 0.0, 0.0, 0.0]",71.53376293418955,si1lNmExwYp0qHd,-1.0,75.0,"['TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB']"
0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.003153344671201815,0.11001275510204077,1.0,7.5,15.759999999999994,"[15.76000000000019, 0.0, 0.0, 0.0, 0.0, 0.0]",0.2203155454648606,"[0.22031554546486418, 0.0, 0.0, 0.0, 0.0, 0.0]",8.260000000000002,"[8.260000000000161, 0.0, 0.0, 0.0, 0.0, 0.0]",0.1154699495900856,"[0.11546994959008558, 0.0, 0.0, 0.0, 0.0, 0.0]",71.53376293418955,klD1PHboiI6GI83,-0.9495714285714284,75.0,"['TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT']"
0.001,0.0,0.0,0.0,0.9990000000000001,0.0,0.3,0.0030786501637692122,0.10452460939468378,1.0,7.787999999999999,54.01,"[54.01000000000037, 0.0, 0.0, 0.0, 0.0, 54.01]",0.7550280844262132,"[0.7550280844261964, 0.0, 0.0, 0.0, 0.0, 0.7550280844262133]",46.222,"[46.22421421421431, 0.0, 0.0, 0.0, 0.0, 44.01]",0.6461564176698469,"[0.6461873710843294, 0.0, 0.0, 0.0, 0.0, 0.6152339565931799]",71.53376293418955,mlhb2P64mtEuQDH,-0.9557738095238096,75.0,"['TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT']"
0.012,0.0,0.0,0.0,0.988,0.0,0.3,0.002279638939904092,0.06691076270916232,1.0,9.947000000000001,49.48000000000001,"[49.4800000000008, 0.0, 0.0, 0.0, 0.0, 49.48000000000001]",0.6917013445178491,"[0.6917013445178444, 0.0, 0.0, 0.0, 0.0, 0.6917013445178491]",39.533,"[39.532631578947566, 0.0, 0.0, 0.0, 0.0, 39.56333333333334]",0.5526481255623311,"[0.5526429752523576, 0.0, 0.0, 0.0, 0.0, 0.553072167750091]",71.53376293418955,Q8ZMcp5SHNKniCj,-0.8542857142857142,75.0,"['TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT']"
0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.005017928004535147,0.10798022959183673,1.0,7.181,77.4,"[77.39999999999998, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0820065494276785,"[1.082006549427666, 0.0, 0.0, 0.0, 0.0, 0.0]",70.21899999999998,"[70.21900000000056, 0.0, 0.0, 0.0, 0.0, 0.0]",0.9816203862307776,"[0.9816203862307875, 0.0, 0.0, 0.0, 0.0, 0.0]",71.53376293418955,55wGWrG0AsulSFG,-0.8267809523809524,75.0,"['TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT']"
0.0,0.0,0.353,0.15,0.49700000000000005,0.0,0.3,0.04198333333333335,0.1875,1.0,3.4019999999999997,106.75,"[106.75, 106.75, 106.75, 0.0, 0.0, 0.0]",1.4923023146176315,"[1.4923023146176317, 1.4923023146176317, 1.4923023146176317, 0.0, 0.0, 0.0]",103.348,"[102.95321931589537, 105.00779036827196, 100.75, 0.0, 0.0, 0.0]",1.4447443523288337,"[1.4392255501868607, 1.4679472470206538, 1.4084258379178103, 0.0, 0.0, 0.0]",71.53376293418955,Gq2ftjqDBmr2chN,-1.0,75.0,"['TTB', 'TTB_SAT', 'TTB_SAT', 'SAT_TTB', 'SAT_TTB', 'TTB', 'TTB_SAT', 'SAT_TTB', 'SAT_TTB', 'TTB_SAT']"
0.0,0.0,0.0,1.0,0.0,0.0,0.3,0.0,0.1875,1.0,6.0,72.14,"[0.0, 0.0, 72.1399999999995, 0.0, 0.0, 0.0]",1.0084748381875028,"[0.0, 0.0, 1.0084748381874808, 0.0, 0.0, 0.0]",66.14,"[0.0, 0.0, 66.13999999999952, 0.0, 0.0, 0.0]",0.9245983614876824,"[0.0, 0.0, 0.9245983614877026, 0.0, 0.0, 0.0]",71.53376293418955,PCWdMJAPeV3vIAW,-1.0,75.0,"['TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB']"
0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.0034722222222222233,0.09375,1.0,8.0,40.13999999999999,"[40.139999999999574, 0.0, 0.0, 0.0, 0.0, 0.0]",0.5611336291217961,"[0.561133629121793, 0.0, 0.0, 0.0, 0.0, 0.0]",32.13999999999999,"[32.1399999999996, 0.0, 0.0, 0.0, 0.0, 0.0]",0.4492983268553693,"[0.4492983268553578, 0.0, 0.0, 0.0, 0.0, 0.0]",71.53376293418955,q8OiXnEuGsljtb2,-0.9542857142857142,75.0,"['TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT']"
0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.003131660997732428,0.11111862244897956,1.0,7.466,27.779999999999994,"[27.779999999999692, 0.0, 0.0, 0.0, 0.0, 0.0]",0.3883480871201667,"[0.3883480871201644, 0.0, 0.0, 0.0, 0.0, 0.0]",20.313999999999997,"[20.314000000000004, 0.0, 0.0, 0.0, 0.0, 0.0]",0.283977791280024,"[0.28397779128002254, 0.0, 0.0, 0.0, 0.0, 0.0]",71.53376293418955,nQ4KJRm5qzDmfGs,-0.9444285714285712,75.0,"['TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT']"
0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.006345756172839506,0.04041027777777778,1.0,11.145999999999999,47.92453,"[47.92452999999996, 0.0, 0.0, 0.0, 0.0, 0.0]",0.6699567873158042,"[0.6699567873158085, 0.0, 0.0, 0.0, 0.0, 0.0]",36.77853,"[36.77852999999996, 0.0, 0.0, 0.0, 0.0, 0.0]",0.5141422524331054,"[0.5141422524331114, 0.0, 0.0, 0.0, 0.0, 0.0]",71.53376293418955,02RpShoPR0hc5AX,-0.8532108946608946,75.0,"['TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT']"
0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.0034722222222222233,0.09375,1.0,8.0,45.88999999999999,"[45.889999999999546, 0.0, 0.0, 0.0, 0.0, 0.0]",0.6415152526257902,"[0.641515252625788, 0.0, 0.0, 0.0, 0.0, 0.0]",37.88999999999999,"[37.88999999999958, 0.0, 0.0, 0.0, 0.0, 0.0]",0.5296799503593635,"[0.5296799503593641, 0.0, 0.0, 0.0, 0.0, 0.0]",71.53376293418955,lIbaNiqegro6KIA,-0.8401904761904759,75.0,"['TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT']"
0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.0030868055555555553,0.07640624999999998,1.0,8.999,35.75,"[35.75, 0.0, 0.0, 0.0, 0.0, 0.0]",0.4997640070030942,"[0.4997640070030907, 0.0, 0.0, 0.0, 0.0, 0.0]",26.750999999999998,"[26.751, 0.0, 0.0, 0.0, 0.0, 0.0]",0.3739632713661477,"[0.3739632713661399, 0.0, 0.0, 0.0, 0.0, 0.0]",71.53376293418955,IBOZgXFSkyvyiUf,-0.96075,75.0,"['TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT']"
0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.022027268833459308,0.09179155612244898,1.0,5.651,95.44000000000004,"[95.44000000000132, 0.0, 0.0, 0.0, 0.0, 0.0]",1.3341951560384713,"[1.3341951560384875, 0.0, 0.0, 0.0, 0.0, 0.0]",89.78900000000004,"[89.78900000000127, 0.0, 0.0, 0.0, 0.0, 0.0]",1.2551974944000237,"[1.2551974944000281, 0.0, 0.0, 0.0, 0.0, 0.0]",71.53376293418955,VHZfp8VcgwqWdru,-0.7648333333333333,75.0,"['TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT']"
0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.0031450538548752844,0.11043558673469386,1.0,7.487,37.939999999999976,"[37.93999999999983, 0.0, 0.0, 0.0, 0.0, 0.0]",0.5303789209985286,"[0.5303789209985316, 0.0, 0.0, 0.0, 0.0, 0.0]",30.453,"[30.452999999999484, 0.0, 0.0, 0.0, 0.0, 0.0]",0.4257150574899364,"[0.4257150574899389, 0.0, 0.0, 0.0, 0.0, 0.0]",71.53376293418955,12Smwv1zSNyuuxE,-0.8206952380952379,75.0,"['TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT']"
0.0,0.0,0.16899999999999998,0.16,0.6709999999999999,0.0,0.3,0.004666666666666668,0.1875,1.0,5.16,79.61999999999998,"[79.62000000000081, 79.62000000000026, 79.62000000000023, 0.0, 0.0, 0.0]",1.1130408458066117,"[1.1130408458066088, 1.1130408458066092, 1.1130408458066092, 0.0, 0.0, 0.0]",74.46,"[74.62000000000069, 74.62000000000022, 73.62000000000018, 0.0, 0.0, 0.0]",1.0409070758447665,"[1.0431437818900882, 1.0431437818900986, 1.0291643691067907, 0.0, 0.0, 0.0]",71.53376293418955,rVjVpCboG0KJwv1,-1.0,75.0,"['TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB', 'TTB_SAT', 'TTB_SAT']"
0.06,0.0,0.0,0.0,0.94,0.0,0.3,0.02487082414756026,0.0716125813334593,1.0,5.888,83.21723999999998,"[83.47574468085226, 0.0, 0.0, 0.0, 0.0, 79.16733333333335]",1.163328148647222,"[1.1669418922872512, 0.0, 0.0, 0.0, 0.0, 1.1067128316200363]",77.32923999999998,"[77.68212765957566, 0.0, 0.0, 0.0, 0.0, 71.8006666666667]",1.0810173661791318,"[1.0859505284384572, 0.0, 0.0, 0.0, 0.0, 1.0037311574497019]",71.53376293418955,YwmSZ9XOPRdJfbN,-0.5295238095238095,75.0,"['TTB_SAT', 'Other', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT']"
0.0,0.0,0.375,0.0,0.625,0.0,0.3,0.0496738888888889,0.1787766666666667,1.0,2.8289999999999997,96.94496,"[101.5657920000012, 89.2435733333335, 0.0, 0.0, 0.0, 0.0]",1.355233613100831,"[1.4198301310311294, 1.2475727498836684, 0.0, 0.0, 0.0, 0.0]",94.11596,"[98.46179200000115, 86.87290666666676, 0.0, 0.0, 0.0, 0.0]",1.315685854336866,"[1.3764380337517526, 1.2144322219787202, 0.0, 0.0, 0.0, 0.0]",71.53376293418955,WdVOkNPSiCkiKDf,-0.9442409442409442,75.0,"['TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'SAT_TTB', 'TTB_SAT', 'SAT_TTB', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT']"
0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.0030614764424288232,0.10532766439909297,1.0,7.7620000000000005,23.27,"[23.270000000000355, 0.0, 0.0, 0.0, 0.0, 0.0]",0.3253009354674687,"[0.32530093546747, 0.0, 0.0, 0.0, 0.0, 0.0]",15.508000000000004,"[15.508000000000317, 0.0, 0.0, 0.0, 0.0, 0.0]",0.21679273344346814,"[0.2167927334434689, 0.0, 0.0, 0.0, 0.0, 0.0]",71.53376293418955,EDYV3TvmyqJrQOZ,-0.94825,75.0,"['TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT']"
0.0,0.0,0.546,0.0,0.45399999999999996,0.0,0.3,0.06380555555555557,0.1875,4.0,2.41,83.98627999999998,"[81.99867841409649, 85.63897435897378, 0.0, 0.0, 0.0, 0.0]",1.1740788762540932,"[1.1462933732360001, 1.1971825729028367, 0.0, 0.0, 0.0, 0.0]",74.34628000000001,"[68.70352422907452, 79.03824175824121, 0.0, 0.0, 0.0, 0.0]",1.0393173370230493,"[0.9604349248659216, 1.1049082072049858, 0.0, 0.0, 0.0, 0.0]",71.53376293418955,Z6igLUgOZ1o22OJ,-1.0,75.0,"['TTB_SAT', 'SAT_TTB', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB']"
