Other,Rand,SAT_TTB,TTB,TTB_SAT,WADD,alpha,click_var_gamble,click_var_outcome,cost,nr_clicks,payoff_gross,payoff_gross_by_strategy,payoff_gross_relative,payoff_gross_relative_by_strategy,payoff_net,payoff_net_by_strategy,payoff_net_relative,payoff_net_relative_by_strategy,payoff_perfect,problem_id,processing_pattern,sigma,strategy,km_strategy,km_TTB_SAT,km_SAT_TTB,km_WADD,km_TTB,cluster_centers,cluster_points
0.0,0.0,0.031,0.0,0.969,0.0,0.3,0.03242672902494331,0.0883800595238095,4.0,4.9030000000000005,55.933599999999984,"[55.71009287925638, 62.92000000000003, 0.0, 0.0, 0.0, 0.0]",0.7819188828561757,"[0.7787943845552998, 0.8795846523254457, 0.0, 0.0, 0.0, 0.0]",36.3216,"[35.726604747161325, 54.92000000000002, 0.0, 0.0, 0.0, 0.0]",0.5077546393500305,"[0.49943695510650093, 0.7677493500590199, 0.0, 0.0, 0.0, 0.0]",71.53376293418955,3uXiz4V3sUrSmY9,-0.6067333333333333,75.0,"['TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT']","['SAT_TTB', 'SAT_TTB', 'TTB_SAT', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'TTB_SAT', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB']",0.2,0.8,0.0,0.0,,
0.0,0.0,0.146,0.17600000000000002,0.6779999999999999,0.0,0.3,0.00987777777777778,0.1875,4.0,4.54,68.86,"[68.86000000000045, 68.86000000000003, 68.86000000000011, 0.0, 0.0, 0.0]",0.9626223642582676,"[0.9626223642582783, 0.9626223642582666, 0.9626223642582665, 0.0, 0.0, 0.0]",50.70000000000002,"[51.75085545722755, 52.8599999999999, 44.85999999999989, 0.0, 0.0, 0.0]",0.7087562281134796,"[0.723446570325643, 0.7389517597254133, 0.6271164574589858, 0.0, 0.0, 0.0]",71.53376293418955,si1lNmExwYp0qHd,-1.0,75.0,"['TTB_SAT', 'TTB_SAT', 'SAT_TTB', 'TTB_SAT', 'TTB', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT']","['SAT_TTB', 'TTB', 'TTB', 'TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB']",0.0,0.7,0.0,0.3,,
0.0,0.0,0.0,1.0,0.0,0.0,0.3,0.0,0.1875,4.0,6.0,15.759999999999994,"[0.0, 0.0, 15.76000000000019, 0.0, 0.0, 0.0]",0.2203155454648606,"[0.0, 0.0, 0.22031554546486418, 0.0, 0.0, 0.0]",-8.239999999999998,"[0.0, 0.0, -8.239999999999839, 0.0, 0.0, 0.0]",-0.11519036133441947,"[0.0, 0.0, -0.11519036133441707, 0.0, 0.0, 0.0]",71.53376293418955,klD1PHboiI6GI83,-1.0,75.0,"['TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB']","['TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB']",0.0,0.0,0.0,1.0,,
0.0,0.0,0.0,1.0,0.0,0.0,0.3,0.0,0.1875,4.0,6.0,54.01,"[0.0, 0.0, 54.010000000000375, 0.0, 0.0, 0.0]",0.7550280844262132,"[0.0, 0.0, 0.7550280844261964, 0.0, 0.0, 0.0]",30.009999999999994,"[0.0, 0.0, 30.009999999999373, 0.0, 0.0, 0.0]",0.4195221776269333,"[0.0, 0.0, 0.419522177626942, 0.0, 0.0, 0.0]",71.53376293418955,mlhb2P64mtEuQDH,-1.0,75.0,"['TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB']","['TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB']",0.0,0.0,0.0,1.0,,
0.0,0.0,0.217,0.0,0.7829999999999999,0.0,0.3,0.04458316956412195,0.13918542091836736,4.0,4.457,49.48000000000001,"[49.480000000000175, 49.47999999999974, 0.0, 0.0, 0.0, 0.0]",0.6917013445178491,"[0.6917013445178534, 0.6917013445178498, 0.0, 0.0, 0.0, 0.0]",31.652000000000005,"[27.972975734354698, 44.92700460829469, 0.0, 0.0, 0.0, 0.0]",0.4424763734171173,"[0.39104577456787676, 0.628053142536728, 0.0, 0.0, 0.0, 0.0]",71.53376293418955,Q8ZMcp5SHNKniCj,-0.763550635506355,75.0,"['TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'SAT_TTB', 'SAT_TTB', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT']","['SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'TTB_SAT', 'TTB_SAT', 'SAT_TTB', 'TTB_SAT', 'TTB', 'SAT_TTB']",0.3,0.6,0.0,0.1,,
0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.015743461829176117,0.09744528061224488,4.0,6.159,77.4,"[77.39999999999998, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0820065494276785,"[1.082006549427666, 0.0, 0.0, 0.0, 0.0, 0.0]",52.76399999999999,"[52.76400000000092, 0.0, 0.0, 0.0, 0.0, 0.0]",0.7376097360982175,"[0.7376097360982148, 0.0, 0.0, 0.0, 0.0, 0.0]",71.53376293418955,55wGWrG0AsulSFG,-0.7854333333333334,75.0,"['TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT']","['TTB_SAT', 'SAT_TTB', 'TTB', 'TTB', 'SAT_TTB', 'TTB_SAT', 'TTB_SAT', 'TTB', 'TTB', 'SAT_TTB']",0.3,0.3,0.0,0.4,,
0.0,0.0,0.648,0.0,0.35200000000000004,0.0,0.3,0.053669444444444464,0.1875,4.0,2.508,78.43171,"[83.09812499999988, 75.89686728395093, 0.0, 0.0, 0.0, 0.0]",1.0964292493903407,"[1.1616629908935403, 1.0609936367219381, 0.0, 0.0, 0.0, 0.0]",68.39971,"[72.12085227272719, 66.37834876543226, 0.0, 0.0, 0.0, 0.0]",0.956187780348241,"[1.0082071642040935, 0.927930337266051, 0.0, 0.0, 0.0, 0.0]",71.53376293418955,Gq2ftjqDBmr2chN,-1.0,75.0,"['SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'TTB_SAT', 'SAT_TTB', 'TTB_SAT', 'SAT_TTB', 'SAT_TTB']","['TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'TTB', 'SAT_TTB']",0.0,0.8,0.0,0.2,,
0.0,0.0,0.171,0.183,0.6459999999999999,0.0,0.3,0.00453888888888889,0.1875,4.0,5.183,72.14,"[72.13999999999956, 72.1399999999999, 72.13999999999986, 0.0, 0.0, 0.0]",1.0084748381875028,"[1.008474838187496, 1.0084748381875022, 1.0084748381875026, 0.0, 0.0, 0.0]",51.408,"[52.139999999999596, 52.140000000000086, 48.14000000000009, 0.0, 0.0, 0.0]",0.7186536523640582,"[0.728886582521442, 0.7288865825214373, 0.6729689313882252, 0.0, 0.0, 0.0]",71.53376293418955,PCWdMJAPeV3vIAW,-1.0,75.0,"['TTB_SAT', 'SAT_TTB', 'TTB', 'TTB_SAT', 'TTB_SAT', 'TTB', 'TTB_SAT', 'TTB', 'SAT_TTB', 'TTB_SAT']","['TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB']",0.0,0.0,0.0,1.0,,
0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.0031399518140589576,0.11069579081632652,4.0,7.479,40.13999999999999,"[40.139999999999574, 0.0, 0.0, 0.0, 0.0, 0.0]",0.5611336291217961,"[0.561133629121793, 0.0, 0.0, 0.0, 0.0, 0.0]",10.223999999999991,"[10.224, 0.0, 0.0, 0.0, 0.0, 0.0]",0.14292551629649328,"[0.14292551629649206, 0.0, 0.0, 0.0, 0.0, 0.0]",71.53376293418955,q8OiXnEuGsljtb2,-0.9438095238095238,75.0,"['TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT']","['TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB_SAT', 'TTB_SAT']",0.5,0.0,0.0,0.5,,
0.0,0.0,0.0,1.0,0.0,0.0,0.3,0.0,0.1875,4.0,6.0,27.779999999999994,"[0.0, 0.0, 27.779999999999692, 0.0, 0.0, 0.0]",0.3883480871201667,"[0.0, 0.0, 0.3883480871201644, 0.0, 0.0, 0.0]",3.7800000000000007,"[0.0, 0.0, 3.7800000000000793, 0.0, 0.0, 0.0]",0.05284218032088662,"[0.0, 0.0, 0.05284218032088706, 0.0, 0.0, 0.0]",71.53376293418955,nQ4KJRm5qzDmfGs,-1.0,75.0,"['TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB']","['TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB']",0.0,0.0,0.0,1.0,,
0.0,0.0,0.177,0.0,0.823,0.0,0.3,0.020614729780801214,0.1602361536281179,4.0,4.14,46.05181999999999,"[46.131786148238284, 45.680000000000106, 0.0, 0.0, 0.0, 0.0]",0.6437774012023842,"[0.6448952809973029, 0.6385795759412939, 0.0, 0.0, 0.0, 0.0]",29.49182,"[28.795212636695116, 32.73084745762715, 0.0, 0.0, 0.0, 0.0]",0.41227832551088095,"[0.40254016363135375, 0.45755802735750367, 0.0, 0.0, 0.0, 0.0]",71.53376293418955,02RpShoPR0hc5AX,-0.8792000000000001,75.0,"['TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT']","['SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB']",0.0,1.0,0.0,0.0,,
0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.0039407596371882105,0.09311989795918367,4.0,7.923999999999999,45.88999999999999,"[45.889999999999546, 0.0, 0.0, 0.0, 0.0, 0.0]",0.6415152526257902,"[0.641515252625788, 0.0, 0.0, 0.0, 0.0, 0.0]",14.193999999999996,"[14.193999999999836, 0.0, 0.0, 0.0, 0.0, 0.0]",0.19842378504620764,"[0.19842378504620686, 0.0, 0.0, 0.0, 0.0, 0.0]",71.53376293418955,lIbaNiqegro6KIA,-0.8482761904761903,75.0,"['TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT']","['TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT']",1.0,0.0,0.0,0.0,,
0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.0034722222222222233,0.09375,4.0,8.0,35.75,"[35.75, 0.0, 0.0, 0.0, 0.0, 0.0]",0.4997640070030942,"[0.4997640070030907, 0.0, 0.0, 0.0, 0.0, 0.0]",3.75,"[3.75, 0.0, 0.0, 0.0, 0.0, 0.0]",0.05242279793738752,"[0.0524227979373885, 0.0, 0.0, 0.0, 0.0, 0.0]",71.53376293418955,IBOZgXFSkyvyiUf,-0.8326571428571429,75.0,"['TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT']","['TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT']",1.0,0.0,0.0,0.0,,
0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.023884989606953896,0.08239264030612245,4.0,5.672999999999999,84.77080000000002,"[84.77080000000086, 0.0, 0.0, 0.0, 0.0, 0.0]",1.185046005170851,"[1.1850460051708653, 0.0, 0.0, 0.0, 0.0, 0.0]",62.0788,"[62.078800000000534, 0.0, 0.0, 0.0, 0.0, 0.0]",0.8678251702921312,"[0.8678251702921277, 0.0, 0.0, 0.0, 0.0, 0.0]",71.53376293418955,VHZfp8VcgwqWdru,-0.6845333333333333,75.0,"['TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT']","['SAT_TTB', 'SAT_TTB', 'TTB_SAT', 'TTB_SAT', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB']",0.2,0.8,0.0,0.0,,
0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.007151714852607709,0.10554995748299316,4.0,6.938,37.939999999999976,"[37.93999999999983, 0.0, 0.0, 0.0, 0.0, 0.0]",0.5303789209985286,"[0.5303789209985316, 0.0, 0.0, 0.0, 0.0, 0.0]",10.187999999999985,"[10.187999999999954, 0.0, 0.0, 0.0, 0.0, 0.0]",0.1424222574362942,"[0.1424222574362924, 0.0, 0.0, 0.0, 0.0, 0.0]",71.53376293418955,12Smwv1zSNyuuxE,-0.8155714285714284,75.0,"['TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT']","['TTB', 'TTB_SAT', 'TTB_SAT', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB_SAT', 'TTB_SAT']",0.4,0.0,0.0,0.6,,
0.0,0.0,0.85,0.15,0.0,0.0,0.3,0.03776111111111111,0.1875,4.0,3.535,79.61999999999998,"[0.0, 79.62000000000096, 79.62000000000019, 0.0, 0.0, 0.0]",1.1130408458066117,"[0.0, 1.1130408458066088, 1.1130408458066092, 0.0, 0.0, 0.0]",65.48,"[0.0, 67.22000000000092, 55.619999999999926, 0.0, 0.0, 0.0]",0.9153719490507028,"[0.0, 0.9396961272936576, 0.7775349390073348, 0.0, 0.0, 0.0]",71.53376293418955,rVjVpCboG0KJwv1,-1.0,75.0,"['SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'TTB', 'SAT_TTB', 'TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB']","['TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'TTB', 'SAT_TTB']",0.0,0.7,0.0,0.3,,
0.0,0.0,0.368,0.0,0.632,0.0,0.3,0.06342685185185185,0.12060888888888888,4.0,3.109,68.95585,"[56.67318037974683, 90.04999999999953, 0.0, 0.0, 0.0, 0.0]",0.9639622909735476,"[0.7922577822710852, 1.2588461211364605, 0.0, 0.0, 0.0, 0.0]",56.51984999999999,"[41.20482594936707, 82.82173913043428, 0.0, 0.0, 0.0, 0.0]",0.7901143136003871,"[0.5760192706103698, 1.1577992787354163, 0.0, 0.0, 0.0, 0.0]",71.53376293418955,YwmSZ9XOPRdJfbN,-0.7294573643410853,75.0,"['TTB_SAT', 'TTB_SAT', 'SAT_TTB', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'SAT_TTB', 'SAT_TTB', 'TTB_SAT']","['SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB']",0.0,1.0,0.0,0.0,,
0.0,0.0,0.662,0.0,0.338,0.0,0.3,0.06750833333333335,0.1875,4.0,2.38,90.14272,"[119.58000000000101, 75.11280966767433, 0.0, 0.0, 0.0, 0.0]",1.2601422922897336,"[1.671658180627407, 1.0500329716581067, 0.0, 0.0, 0.0, 0.0]",80.62272000000002,"[107.5208284023678, 66.88924471299133, 0.0, 0.0, 0.0, 0.0]",1.1270582825926858,"[1.5030780430394117, 0.9350723626062896, 0.0, 0.0, 0.0, 0.0]",71.53376293418955,WdVOkNPSiCkiKDf,-1.0,75.0,"['SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'TTB_SAT', 'TTB_SAT', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'TTB_SAT']","['SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB']",0.0,1.0,0.0,0.0,,
0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.002834467120181407,0.1262755102040816,4.0,7.0,23.27,"[23.270000000000355, 0.0, 0.0, 0.0, 0.0, 0.0]",0.3253009354674687,"[0.32530093546747, 0.0, 0.0, 0.0, 0.0, 0.0]",-4.730000000000002,"[-4.729999999999955, 0.0, 0.0, 0.0, 0.0, 0.0]",-0.06612262246502479,"[-0.06612262246502412, 0.0, 0.0, 0.0, 0.0, 0.0]",71.53376293418955,EDYV3TvmyqJrQOZ,-0.9473333333333332,75.0,"['TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT']","['TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB']",0.0,0.0,0.0,1.0,,
0.0,0.0,0.532,0.0,0.468,0.0,0.3,0.06285555555555558,0.1875,4.0,2.434,84.26234999999998,"[82.53427350427309, 85.78253759398434, 0.0, 0.0, 0.0, 0.0]",1.17793817274118,"[1.1537806780862905, 1.1991895026255557, 0.0, 0.0, 0.0, 0.0]",74.52635,"[69.38897435897398, 79.04569548872122, 0.0, 0.0, 0.0, 0.0]",1.0418346098829387,"[0.9700171151741548, 1.1050124059801425, 0.0, 0.0, 0.0, 0.0]",71.53376293418955,Z6igLUgOZ1o22OJ,-1.0,75.0,"['SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB']","['SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB']",0.0,1.0,0.0,0.0,,
0.0,0.0,0.031,0.0,0.969,0.0,0.3,0.03242672902494331,0.0883800595238095,4.0,4.9030000000000005,55.933599999999984,"[55.71009287925638, 62.92000000000003, 0.0, 0.0, 0.0, 0.0]",0.7819188828561757,"[0.7787943845552998, 0.8795846523254457, 0.0, 0.0, 0.0, 0.0]",36.3216,"[35.726604747161325, 54.92000000000002, 0.0, 0.0, 0.0, 0.0]",0.5077546393500305,"[0.49943695510650093, 0.7677493500590199, 0.0, 0.0, 0.0, 0.0]",71.53376293418955,3uXiz4V3sUrSmY9,-0.6067333333333333,75.0,"['TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT']","['TTB_SAT', 'TTB_SAT', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT']",0.6,0.4,0.0,0.0,,
0.0,0.0,0.146,0.17600000000000002,0.6779999999999999,0.0,0.3,0.00987777777777778,0.1875,4.0,4.54,68.86,"[68.86000000000045, 68.86000000000003, 68.86000000000011, 0.0, 0.0, 0.0]",0.9626223642582676,"[0.9626223642582783, 0.9626223642582666, 0.9626223642582665, 0.0, 0.0, 0.0]",50.70000000000002,"[51.75085545722755, 52.8599999999999, 44.85999999999989, 0.0, 0.0, 0.0]",0.7087562281134796,"[0.723446570325643, 0.7389517597254133, 0.6271164574589858, 0.0, 0.0, 0.0]",71.53376293418955,si1lNmExwYp0qHd,-1.0,75.0,"['TTB_SAT', 'TTB_SAT', 'SAT_TTB', 'TTB_SAT', 'TTB', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT']","['TTB', 'TTB', 'SAT_TTB', 'TTB', 'TTB', 'SAT_TTB', 'TTB', 'TTB', 'TTB', 'SAT_TTB']",0.0,0.3,0.0,0.7,,
0.0,0.0,0.0,1.0,0.0,0.0,0.3,0.0,0.1875,4.0,6.0,15.759999999999994,"[0.0, 0.0, 15.76000000000019, 0.0, 0.0, 0.0]",0.2203155454648606,"[0.0, 0.0, 0.22031554546486418, 0.0, 0.0, 0.0]",-8.239999999999998,"[0.0, 0.0, -8.239999999999839, 0.0, 0.0, 0.0]",-0.11519036133441947,"[0.0, 0.0, -0.11519036133441707, 0.0, 0.0, 0.0]",71.53376293418955,klD1PHboiI6GI83,-1.0,75.0,"['TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB']","['TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB']",0.0,0.0,0.0,1.0,,
0.0,0.0,0.0,1.0,0.0,0.0,0.3,0.0,0.1875,4.0,6.0,54.01,"[0.0, 0.0, 54.010000000000375, 0.0, 0.0, 0.0]",0.7550280844262132,"[0.0, 0.0, 0.7550280844261964, 0.0, 0.0, 0.0]",30.009999999999994,"[0.0, 0.0, 30.009999999999373, 0.0, 0.0, 0.0]",0.4195221776269333,"[0.0, 0.0, 0.419522177626942, 0.0, 0.0, 0.0]",71.53376293418955,mlhb2P64mtEuQDH,-1.0,75.0,"['TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB']","['TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB']",0.0,0.0,0.0,1.0,,
0.0,0.0,0.217,0.0,0.7829999999999999,0.0,0.3,0.04458316956412195,0.13918542091836736,4.0,4.457,49.48000000000001,"[49.480000000000175, 49.47999999999974, 0.0, 0.0, 0.0, 0.0]",0.6917013445178491,"[0.6917013445178534, 0.6917013445178498, 0.0, 0.0, 0.0, 0.0]",31.652000000000005,"[27.972975734354698, 44.92700460829469, 0.0, 0.0, 0.0, 0.0]",0.4424763734171173,"[0.39104577456787676, 0.628053142536728, 0.0, 0.0, 0.0, 0.0]",71.53376293418955,Q8ZMcp5SHNKniCj,-0.763550635506355,75.0,"['TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'SAT_TTB', 'SAT_TTB', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT']","['SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'TTB_SAT', 'SAT_TTB', 'TTB_SAT', 'TTB_SAT']",0.3,0.7,0.0,0.0,,
0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.015743461829176117,0.09744528061224488,4.0,6.159,77.4,"[77.39999999999998, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0820065494276785,"[1.082006549427666, 0.0, 0.0, 0.0, 0.0, 0.0]",52.76399999999999,"[52.76400000000092, 0.0, 0.0, 0.0, 0.0, 0.0]",0.7376097360982175,"[0.7376097360982148, 0.0, 0.0, 0.0, 0.0, 0.0]",71.53376293418955,55wGWrG0AsulSFG,-0.7854333333333334,75.0,"['TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT']","['TTB', 'TTB', 'TTB_SAT', 'SAT_TTB', 'TTB', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT']",0.6,0.1,0.0,0.3,,
0.0,0.0,0.648,0.0,0.35200000000000004,0.0,0.3,0.053669444444444464,0.1875,4.0,2.508,78.43171,"[83.09812499999988, 75.89686728395093, 0.0, 0.0, 0.0, 0.0]",1.0964292493903407,"[1.1616629908935403, 1.0609936367219381, 0.0, 0.0, 0.0, 0.0]",68.39971,"[72.12085227272719, 66.37834876543226, 0.0, 0.0, 0.0, 0.0]",0.956187780348241,"[1.0082071642040935, 0.927930337266051, 0.0, 0.0, 0.0, 0.0]",71.53376293418955,Gq2ftjqDBmr2chN,-1.0,75.0,"['SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'TTB_SAT', 'SAT_TTB', 'TTB_SAT', 'SAT_TTB', 'SAT_TTB']","['SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB']",0.0,1.0,0.0,0.0,,
0.0,0.0,0.171,0.183,0.6459999999999999,0.0,0.3,0.00453888888888889,0.1875,4.0,5.183,72.14,"[72.13999999999956, 72.1399999999999, 72.13999999999986, 0.0, 0.0, 0.0]",1.0084748381875028,"[1.008474838187496, 1.0084748381875022, 1.0084748381875026, 0.0, 0.0, 0.0]",51.408,"[52.139999999999596, 52.140000000000086, 48.14000000000009, 0.0, 0.0, 0.0]",0.7186536523640582,"[0.728886582521442, 0.7288865825214373, 0.6729689313882252, 0.0, 0.0, 0.0]",71.53376293418955,PCWdMJAPeV3vIAW,-1.0,75.0,"['TTB_SAT', 'SAT_TTB', 'TTB', 'TTB_SAT', 'TTB_SAT', 'TTB', 'TTB_SAT', 'TTB', 'SAT_TTB', 'TTB_SAT']","['TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB']",0.0,0.0,0.0,1.0,,
0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.0031399518140589576,0.11069579081632652,4.0,7.479,40.13999999999999,"[40.139999999999574, 0.0, 0.0, 0.0, 0.0, 0.0]",0.5611336291217961,"[0.561133629121793, 0.0, 0.0, 0.0, 0.0, 0.0]",10.223999999999991,"[10.224, 0.0, 0.0, 0.0, 0.0, 0.0]",0.14292551629649328,"[0.14292551629649206, 0.0, 0.0, 0.0, 0.0, 0.0]",71.53376293418955,q8OiXnEuGsljtb2,-0.9438095238095238,75.0,"['TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT']","['TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB', 'TTB_SAT', 'TTB_SAT']",0.8,0.0,0.0,0.2,,
